exception_phrase
except
except when
except that
except as
except as provided
except as otherwise provided
except as authorized
except as required
except in cases where
except under certain conditions
except under limited circumstances
notwithstanding
notwithstanding any other provision
notwithstanding the foregoing
notwithstanding anything to the contrary
notwithstanding any rule
notwithstanding any statute
notwithstanding any regulation
unless
unless otherwise specified
unless otherwise authorized
unless otherwise stated
unless prohibited
unless permitted
unless required
unless warranted
unless approved
unless exempted
provided that
provided however
provided further that
"provided, however, that"
"provided, further, that"
"provided, nevertheless"
subject to
subject to the following
subject to approval
subject to conditions
subject to applicable law
subject to change
in the event that
in the event of
in case of
in cases where
in such cases
except for
other than
other than as permitted
other than as provided
exclusive of
save for
save as otherwise provided
under no circumstances
under limited circumstances
under certain circumstances
under extraordinary circumstances
in exceptional cases
in special cases
unless and until
until resolved
until further notice
so long as
only if
only when
if
