term
some
several
various
numerous
few
many
portion
part
adequate amount
reasonable amount
significant amount
minimal amount
substantial amount
sufficient amount
appropriate
reasonable
adequate
sufficient
significant
substantial
material
applicable
feasible
practicable
relevant
necessary
minimal
proper
suitable
as needed
as appropriate
as necessary
as required
as circumstances warrant
other circumstances
under certain circumstances
timely
in a timely manner
from time to time
periodically
promptly
as soon as possible
within a reasonable time
at any time
at times
upon notification
prior to
following
may
might
could
should
can
is allowed to
is permitted to
is authorized to
is encouraged to
if feasible
if possible
if warranted
if applicable
as the utility deems appropriate
generally
typically
usually
likely
unlikely
possibly
potentially
approximately
roughly
appears
suggests
tends to
seems
may include
may involve
forecasted
appropriate authority
responsible party
authorized personnel
designated party
third party
agency representative
utility representative
appropriate officials
involved agency
certifying authority
except when
except as provided
unless otherwise specified
unless otherwise authorized
unless warranted
except under certain conditions
provided that
subject to
notwithstanding
in the event that
in cases where
except in cases of
under no circumstances
if necessary
if appropriate
if feasible
if applicable
if possible
when necessary
when appropriate
when applicable
where appropriate
where necessary
where feasible
implement
ensure
facilitate
handle
address
manage
verify
review
reasonable notice
appropriate action
take measures
take steps
customary
normal
standard
appropriate level
reasonable level
adequately
sufficiently
significantly
materially
meaningful
properly
due
undue
notable
minor
major
considerable
substantial portion
proportionate
disproportionate
realistic
practical
plausible
might
may
arguably
presumably
conceivably
possibly
potentially significant
likely to
unlikely to
suggestive of
indicative of
estimated
expected to
subject to change
